WGS-84:纬度	经度	时速(Km/H)	时间戳
29.212143	119.471453	11.0	2016-10-23 16:11:27
29.212173	119.471473	11.0	2016-10-23 16:11:28
29.212183	119.471493	11.0	2016-10-23 16:11:29
29.212203	119.471503	11.0	2016-10-23 16:11:30
29.212233	119.471513	10.0	2016-10-23 16:11:31
29.212263	119.471533	10.0	2016-10-23 16:11:32
29.212293	119.471553	10.0	2016-10-23 16:11:33
29.212323	119.471563	10.0	2016-10-23 16:11:34
29.212343	119.471573	11.0	2016-10-23 16:11:35
29.212353	119.471583	11.0	2016-10-23 16:11:36
29.212363	119.471593	10.0	2016-10-23 16:11:37
29.212383	119.471603	10.0	2016-10-23 16:11:38
29.212403	119.471603	10.0	2016-10-23 16:11:39
29.212433	119.471613	10.0	2016-10-23 16:11:40
29.212463	119.471613	10.0	2016-10-23 16:11:41
29.212483	119.471623	11.0	2016-10-23 16:11:42
29.212503	119.471633	11.0	2016-10-23 16:11:43
29.212523	119.471644	10.0	2016-10-23 16:11:44
29.212553	119.471644	10.0	2016-10-23 16:11:45
29.212563	119.471654	11.0	2016-10-23 16:11:46
29.212593	119.471664	11.0	2016-10-23 16:11:47
29.212613	119.471674	11.0	2016-10-23 16:11:48
29.212643	119.471684	11.0	2016-10-23 16:11:49
29.212673	119.471694	11.0	2016-10-23 16:11:50
29.212703	119.471704	11.0	2016-10-23 16:11:51
29.212733	119.471704	11.0	2016-10-23 16:11:52
29.212743	119.471704	11.0	2016-10-23 16:11:53
29.212763	119.471714	11.0	2016-10-23 16:11:54
29.212783	119.471734	10.0	2016-10-23 16:11:55
29.212803	119.471744	10.0	2016-10-23 16:11:56
29.212823	119.471754	10.0	2016-10-23 16:11:57
29.212843	119.471764	9.0	2016-10-23 16:11:58
29.212863	119.471764	9.0	2016-10-23 16:11:59
29.212873	119.471764	7.0	2016-10-23 16:12:00
29.212893	119.471774	7.0	2016-10-23 16:12:01
29.212903	119.471784	4.0	2016-10-23 16:12:02
29.212903	119.471774	4.0	2016-10-23 16:12:03
29.212923	119.471774	3.0	2016-10-23 16:12:04
29.212923	119.471784	3.0	2016-10-23 16:12:06
29.212933	119.471784	3.0	2016-10-23 16:12:07
29.212953	119.471784	3.0	2016-10-23 16:12:08
29.212963	119.471784	3.0	2016-10-23 16:12:09
29.212973	119.471794	3.0	2016-10-23 16:12:10
29.212993	119.471794	3.0	2016-10-23 16:12:11
29.213003	119.471804	3.0	2016-10-23 16:12:12
29.213023	119.471794	3.0	2016-10-23 16:12:13
29.213043	119.471794	3.0	2016-10-23 16:12:14
29.213063	119.471794	5.0	2016-10-23 16:12:16
29.213073	119.471804	5.0	2016-10-23 16:12:17
29.213083	119.471804	5.0	2016-10-23 16:12:18
29.213093	119.471804	5.0	2016-10-23 16:12:19
29.213113	119.471794	7.0	2016-10-23 16:12:20
29.213133	119.471804	7.0	2016-10-23 16:12:21
29.213143	119.471804	8.0	2016-10-23 16:12:22
29.213153	119.471814	8.0	2016-10-23 16:12:23
29.213163	119.471814	8.0	2016-10-23 16:12:24
29.213173	119.471814	8.0	2016-10-23 16:12:25
29.213193	119.471824	8.0	2016-10-23 16:12:26
29.213213	119.471824	8.0	2016-10-23 16:12:27
29.213223	119.471834	8.0	2016-10-23 16:12:28
29.213243	119.471844	7.0	2016-10-23 16:12:30
29.213263	119.471864	8.0	2016-10-23 16:12:31
29.213283	119.471874	8.0	2016-10-23 16:12:32
29.213313	119.471894	10.0	2016-10-23 16:12:33
29.213333	119.471904	10.0	2016-10-23 16:12:34
29.213353	119.471924	10.0	2016-10-23 16:12:35
29.213373	119.471934	8.0	2016-10-23 16:12:36
29.213383	119.471944	8.0	2016-10-23 16:12:37
29.213393	119.471965	4.0	2016-10-23 16:12:38
29.213403	119.471965	4.0	2016-10-23 16:12:39
29.213403	119.471975	3.0	2016-10-23 16:12:40
29.213373	119.472035	2.0	2016-10-23 16:12:51
29.213383	119.472045	2.0	2016-10-23 16:12:52
29.213393	119.472045	2.0	2016-10-23 16:12:53
29.213413	119.472055	7.0	2016-10-23 16:12:54
29.213433	119.472065	7.0	2016-10-23 16:12:55
29.213483	119.472075	11.0	2016-10-23 16:12:56
29.213503	119.472075	11.0	2016-10-23 16:12:57
29.213523	119.472085	11.0	2016-10-23 16:12:58
29.213553	119.472085	11.0	2016-10-23 16:12:59
29.213573	119.472085	10.0	2016-10-23 16:13:00
29.213603	119.472095	10.0	2016-10-23 16:13:01
29.213633	119.472095	10.0	2016-10-23 16:13:02
29.213663	119.472105	13.0	2016-10-23 16:13:03
29.213713	119.472105	13.0	2016-10-23 16:13:04
29.213743	119.472105	13.0	2016-10-23 16:13:05
29.213773	119.472105	13.0	2016-10-23 16:13:06
29.213803	119.472115	13.0	2016-10-23 16:13:07
29.213843	119.472115	13.0	2016-10-23 16:13:08
29.213883	119.472125	13.0	2016-10-23 16:13:09
29.213913	119.472125	13.0	2016-10-23 16:13:10
29.213953	119.472135	14.0	2016-10-23 16:13:11
29.214003	119.472135	14.0	2016-10-23 16:13:12
29.214033	119.472145	14.0	2016-10-23 16:13:13
29.214063	119.472145	14.0	2016-10-23 16:13:14
29.214093	119.472145	14.0	2016-10-23 16:13:15
29.214133	119.472155	8.0	2016-10-23 16:13:16
29.214153	119.472155	8.0	2016-10-23 16:13:17
29.214173	119.472165	8.0	2016-10-23 16:13:18
29.214193	119.472175	8.0	2016-10-23 16:13:19
29.214213	119.472195	7.0	2016-10-23 16:13:20
29.214233	119.472205	7.0	2016-10-23 16:13:21
29.214243	119.472215	8.0	2016-10-23 16:13:22
29.214273	119.472235	8.0	2016-10-23 16:13:23
29.214293	119.472245	8.0	2016-10-23 16:13:24
29.214323	119.472255	12.0	2016-10-23 16:13:25
29.214353	119.472266	12.0	2016-10-23 16:13:26
29.214393	119.472266	14.0	2016-10-23 16:13:27
29.214413	119.472276	14.0	2016-10-23 16:13:28
29.214443	119.472296	20.0	2016-10-23 16:13:29
29.214473	119.472296	20.0	2016-10-23 16:13:30
29.214533	119.472286	23.0	2016-10-23 16:13:31
29.214613	119.472296	23.0	2016-10-23 16:13:32
29.214703	119.472296	23.0	2016-10-23 16:13:33
29.214793	119.472306	35.0	2016-10-23 16:13:34
29.214883	119.472316	35.0	2016-10-23 16:13:35
29.214963	119.472326	36.0	2016-10-23 16:13:36
29.215043	119.472326	36.0	2016-10-23 16:13:37
29.215113	119.472336	33.0	2016-10-23 16:13:38
29.215183	119.472336	33.0	2016-10-23 16:13:39
29.215243	119.472316	24.0	2016-10-23 16:13:40
29.215283	119.472275	24.0	2016-10-23 16:13:41
29.215323	119.472245	24.0	2016-10-23 16:13:42
29.215352	119.472215	21.0	2016-10-23 16:13:43
29.215382	119.472185	21.0	2016-10-23 16:13:44
29.215402	119.472165	17.0	2016-10-23 16:13:45
29.215422	119.472135	17.0	2016-10-23 16:13:46
29.215442	119.472095	12.0	2016-10-23 16:13:47
29.215442	119.472055	12.0	2016-10-23 16:13:48
29.215442	119.472005	15.0	2016-10-23 16:13:49
29.215442	119.471944	15.0	2016-10-23 16:13:50
